fia_fortypcd,fvs_fortypcd,fvs_fortypcd_name
103,FTUPHD,UplandHardwoods
104,FTSFHP,SpruceFirHemlockPine
105,FTSFHP,SpruceFirHemlockPine
121,FTSFHP,SpruceFirHemlockPine
124,FTSFHP,SpruceFirHemlockPine
141,FTYLPN,Yellow Pine
142,FTYLPN,Yellow Pine
161,FTYLPN,Yellow Pine
162,FTYLPN,Yellow Pine
163,FTYLPN,Yellow Pine
164,FTYLPN,Yellow Pine
165,FTOKPN,OakPine
166,FTYLPN,Yellow Pine
167,FTUPHD,UplandHardwoods
168,FTLOHD,LowlandHardwoods
181,FTUPHD,UplandHardwoods
401,FTUPHD,UplandHardwoods
402,FTUPHD,UplandHardwoods
403,FTOKPN,OakPine
404,FTOKPN,OakPine
405,FTOKPN,OakPine
406,FTOKPN,OakPine
407,FTOKPN,OakPine
409,FTOKPN,OakPine
501,FTUPOK,Upland Oak
502,FTUPOK,Upland Oak
503,FTUPOK,Upland Oak
504,FTUPOK,Upland Oak
505,FTUPOK,Upland Oak
506,FTUPHD,UplandHardwoods
508,FTLOHD,LowlandHardwoods
510,FTUPOK,Upland Oak
511,FTUPHD,UplandHardwoods
512,FTUPHD,UplandHardwoods
513,FTUPHD,UplandHardwoods
514,FTUPOK,Upland Oak
515,FTUPOK,Upland Oak
519,FTUPHD,UplandHardwoods
520,FTUPHD,UplandHardwoods
601,FTLOHD,LowlandHardwoods
602,FTLOHD,LowlandHardwoods
605,FTLOHD,LowlandHardwoods
606,FTLOHD,LowlandHardwoods
607,FTLOHD,LowlandHardwoods
608,FTLOHD,LowlandHardwoods
701,FTNOHD,NorthernHardwoods
702,FTLOHD,LowlandHardwoods
703,FTLOHD,LowlandHardwoods
704,FTLOHD,LowlandHardwoods
705,FTLOHD,LowlandHardwoods
706,FTLOHD,LowlandHardwoods
708,FTLOHD,LowlandHardwoods
801,FTNOHD,NorthernHardwoods
802,FTUPHD,UplandHardwoods
805,FTNOHD,NorthernHardwoods
807,FTUPHD,UplandHardwoods
809,FTUPHD,UplandHardwoods
