species_code,acr_equation_number,a,b0,b1,c
FR,3,4.0659,-6.8708,1.0510,4.1741
JU,3,2.4435,-32.4837,1.6503,2.6518
PI,3,4.0659,-6.8708,1.0510,4.1741
PU,4,4.3780,-5.0254,0.9620,2.4758
SP,4,4.6721,-3.9456,1.0509,3.0228
SA,4,3.8940,-4.7342,0.9786,2.9082
SR,2,5.0000,-10.1125,1.0734,3.3218
LL,4,3.9771,14.3641,0.5189,3.7531
TM,4,3.9190,1.2933,0.7986,2.9202
PP,1,3.9190,1.2933,0.7986,2.9202
PD,1,4.3300,-34.2606,1.7823,3.0554
WP,3,4.6496,-11.4277,1.1343,3.9405
LP,1,4.9701,-14.6680,1.3196,2.517
VP,1,5.0000,-10.2832,1.1019,2.4693
BY,4,5.0000,-9.8322,1.1062,2.8512
PC,4,4.9986,-9.6939,1.0740,2.3667
HM,3,4.0659,-6.8708,1.0510,4.1741
FM,4,5.0000,-18.6340,1.2622,3.6407
BE,4,5.0000,-18.6340,1.2622,3.6407
RM,4,4.7322,-24.2740,1.4587,2.9951
SV,3,5.0000,-18.6340,1.2622,3.6407
SM,3,4.6903,-19.5613,1.2928,3.3715
BU,3,5.0000,-18.6340,1.2622,3.6407
BB,1,4.1939,1.2500,0.8795,3.1500
SB,1,4.1939,1.2500,0.8795,3.1500
AH,1,4.5640,0.9693,0.9093,3.0540
HI,1,5.0000,-29.1096,1.5626,3.5310
CA,4,4.8371,-14.3180,1.2060,3.7345
HB,4,4.5671,-49.1736,2.1311,2.9883
RD,4,5.0000,15.0407,0.6546,3.0344
DW,4,4.7093,-9.6999,1.1020,2.7391
PS,1,4.7093,-9.6999,1.1020,2.7391
AB,4,4.6965,-14.3809,1.2016,3.5571
AS,3,4.0098,-12.7054,1.2224,2.7400
WA,1,4.8776,-11.6617,1.1668,3.8475
BA,3,4.0098,-12.7054,1.2224,2.7400
GA,3,4.5987,-16.9647,1.3925,3.3601
HL,2,4.9245,-13.3135,1.2765,2.8455
LB,3,4.1992,-16.8789,1.2949,2.7697
HA,1,4.7093,-9.6999,1.1020,2.7391
HY,3,4.6965,-14.3809,1.2016,3.5571
BN,2,4.2967,-17.7977,1.3186,3.0386
WN,2,4.2967,-17.7977,1.3186,3.0386
SU,1,4.6350,-39.7348,1.9132,3.0574
YP,2,4.9948,-11.1089,1.1089,3.8822
MG,3,5.0000,9.2520,0.7899,3.2166
CT,3,4.9829,-5.2479,0.9552,3.8219
MS,3,5.0000,9.2520,0.7899,3.2166
MV,3,4.2299,-32.4970,1.7316,2.7902
ML,3,5.0000,9.2520,0.7899,3.2166
AP,3,4.2932,-7.1512,1.0504,2.7738
MB,3,4.8677,-22.5591,1.4240,2.8686
WT,3,5.0000,-15.1643,1.2524,3.1645
BG,3,4.6134,-42.6970,1.9983,3.0081
TS,3,4.8257,-7.1092,1.0128,2.7232
HH,4,5.0000,15.0407,0.6546,3.0344
SD,3,4.8677,-22.5591,1.4240,2.8686
RA,3,3.5122,22.2798,0.3081,2.7868
SY,3,4.5640,-30.7592,1.6192,3.2836
CW,4,4.8371,-14.3180,1.2060,3.7345
BT,4,4.8371,-14.3180,1.2060,3.7345
BC,3,4.2932,-7.1512,1.0504,2.7738
WO,2,5.0000,-16.0927,1.2319,3.5016
SO,4,5.0000,-4.6551,0.9593,3.8340
SK,2,5.0000,-26.7842,1.6030,3.5160
CB,1,5.0000,-4.2993,1.0761,3.5922
TO,2,4.1406,13.6950,0.6895,3.0427
LK,4,4.6329,-1.2977,0.9438,3.2263
OV,4,5.0000,11.2401,0.7081,3.5258
BJ,4,4.1406,13.6950,0.6895,3.0427
SN,1,4.4764,-18.7445,1.3539,3.8384
CK,1,5.0000,-7.5332,1.0257,3.1662
WK,1,5.0000,-50.1177,2.1127,3.5148
CO,4,5.0000,-9.7922,1.0728,3.6340
RO,2,5.0000,-12.4107,1.1363,3.6430
QS,3,5.0000,-5.0414,0.8032,3.6764
PO,4,4.7585,-83.4596,3.0817,3.4788
BO,2,5.0000,-6.5883,1.0266,3.5587
LO,3,5.0000,11.2401,0.7081,3.5258
BK,4,3.5643,-10.5101,1.2176,2.2033
WI,3,4.8547,-17.1135,1.3108,3.2431
SS,3,4.9082,-11.2419,1.1519,2.4971
BD,5,4.2656,-26.6773,1.5580,4.4024
EL,2,5.0000,1.1421,0.9141,3.0621
WE,4,4.9367,7.6678,0.9105,3.0303
AE,1,5.0000,1.1421,0.9141,3.0621
RL,1,4.7375,-21.8810,1.5340,3.3558
OS,3,2.4435,-32.4837,1.6503,2.6518
OH,1,4.1374,17.2956,0.4987,2.2670
OT,2,4.9041,-2.5097,0.9225,2.7628
