species_code, shade_tolerance
FR, very_tolerant
JU, intolerant
PI, tolerant
PU, intolerant
SP, intolerant
SA, intolerant
SR, very_tolerant
LL, intolerant
TM, intolerant
PP, intolerant
PD, intolerant
WP, intermediate
LP, intolerant
VP, intolerant
BY, intermediate
PC, intermediate
HM, very_tolerant
FM, tolerant
BE, tolerant
RM, tolerant
SV, tolerant
SM, very_tolerant
BU, tolerant
BB, intolerant
SB, intolerant
AH, very_tolerant
HI, intermediate
CK, intolerant
CA, intolerant
WK, intolerant
HB, intermediate
CO, intermediate
RD, tolerant
RO, intermediate
DW, very_tolerant
QS, intolerant
PS, very_tolerant
PO, intolerant
AB, very_tolerant
BO, intermediate
AS, tolerant
LO, intermediate
WA, intolerant
BA, intolerant
GA, tolerant
SS, intolerant
HL, intolerant
BD, tolerant
LB, intolerant
HA, intolerant
WE, tolerant
HY, very_tolerant
AE, intermediate
BN, intolerant
RL, tolerant
WN, intolerant
OS, intermediate
SU, intolerant
OH, intermediate
YP, intolerant
OT, intermediate
