fvs_spcd,fvspy_base_ecounit,ecounit_m221,ecounit_m222,ecounit_t231,ecounit_221,ecounit_222,ecounit_231t,ecounit_231l,ecounit_232,ecounit_234,ecounit_255,ecounit_411
AB,6,-0.191377,-0.370162,-0.181571,-0.105676,0.093229,0.006941,-0.003611,1e-06,-0.031277,1e-06,1e-06
AE,7,-0.312702,-0.097041,-0.361568,-0.127373,-0.293653,-0.413743,-0.127535,-0.043112,1e-06,0.11986,1e-06
AH,6,-0.260665,-0.170424,-0.314804,-0.11468,0.04355,-0.090864,0.087924,1e-06,0.215406,1e-06,1e-06
AP,11,0.352576,0.128982,0.243569,0.26906,0.000219,-0.25349,1e-06,-0.119399,0.032415,0.498573,1e-06
AS,6,0.424837,1e-06,1e-06,-0.181787,1e-06,0.073246,1e-06,1e-06,1e-06,1e-06,-0.795646
BA,7,0.1469,-0.443396,-0.448423,-0.133024,-0.079056,-0.119819,-0.116966,-0.075746,1e-06,-0.003469,1e-06
BB,1,1e-06,0.379877,-0.528365,0.30676,0.167634,0.178981,0.365419,0.236959,0.417591,1.151813,1e-06
BC,10,0.290593,0.163528,-0.111387,0.060201,0.089278,1e-06,0.23992,0.12589,0.264833,1.90134,1e-06
BD,1,1e-06,0.022312,0.378775,0.195305,0.106462,-0.145798,-0.155027,-0.071987,0.920288,0.644926,1e-06
BE,7,-0.202911,-0.354429,0.37115,-0.282925,-0.250799,-0.351211,-0.15656,-0.233523,1e-06,-0.011673,1e-06
BG,6,-0.014903,-0.266804,-0.251634,-0.000477,0.058798,-0.116789,0.138867,1e-06,-0.031436,0.37582,1e-06
BJ,6,-0.172582,0.107373,-0.084775,0.127193,-0.066699,-0.052485,0.178459,1e-06,-0.037201,0.380348,-0.741911
BK,1,1e-06,-0.174431,0.170467,0.016664,0.035772,0.047888,0.371885,0.171124,0.240479,0.444606,1e-06
BN,5,-0.071073,0.374367,-0.05879,-0.072556,1e-06,-0.015672,0.349608,0.255119,0.259162,0.352483,1e-06
BO,5,-0.122266,-0.144853,-0.16313,0.021869,1e-06,-0.048649,0.151382,0.084829,0.369759,-0.051983,1e-06
BT,7,1e-06,1e-06,1e-06,1e-06,-0.010636,-0.380297,-0.091346,-0.145951,1e-06,-0.227224,1e-06
BU,1,1e-06,1e-06,1e-06,0.168179,0.024888,0.029753,1e-06,1e-06,1e-06,1e-06,1e-06
BY,6,1e-06,1e-06,1e-06,1e-06,0.230225,0.457755,0.154525,1e-06,0.021935,0.288209,-0.033047
CA,7,1e-06,1e-06,1e-06,1e-06,-0.010636,-0.380297,-0.091346,-0.145951,1e-06,-0.227224,1e-06
CB,11,-0.303022,-0.568197,-0.001804,-0.301395,-0.106435,-0.139157,1e-06,5.8e-05,-0.035715,-0.198361,1e-06
CK,5,-0.039862,-0.110433,-0.170239,0.024645,1e-06,0.126865,-0.010615,0.755389,0.471921,0.606309,1e-06
CO,1,1e-06,1e-06,1e-06,0.15138,0.200026,0.204279,0.295079,0.085617,0.080911,0.585065,1e-06
CT,1,1e-06,-0.333954,1e-06,0.326227,-0.158005,-0.089037,0.587498,0.575938,0.572974,1e-06,1e-06
