species_code,acr_equation_number,a,b0,b1,c,d0,d1,d2
AB,4,4.6965,-14.3809,1.2016,3.5571,59.09,-4.99,
AE,1,5.0,1.1421,0.9141,3.0621,3.7366,-0.0896,0.0151
AH,1,4.564,0.9693,0.9093,3.054,3.9904,-0.1496,0.0171
AP,3,4.2932,-7.1512,1.0504,2.7738,55.48,,-2.38
AS,3,4.0098,-12.7054,1.2224,2.74,38.26,,-0.77
BA,3,4.0098,-12.7054,1.2224,2.74,35.49,,0.0
BB,1,4.1939,1.25,0.8795,3.15,3.7275,-0.1124,0.0282
BC,3,4.2932,-7.1512,1.0504,2.7738,45.06,,-0.96
BD,5,4.2656,-26.6773,1.558,4.4024,0.0283,-0.012,
BE,4,5.0,-18.634,1.2622,3.6407,61.9643,-22.3363,
BG,3,4.6134,-42.697,1.9983,3.0081,41.01,,-0.21
BJ,4,4.1406,13.695,0.6895,3.0427,56.42,-14.13,
BK,4,3.5643,-10.5101,1.2176,2.2033,49.022,-22.5732,
BN,2,4.2967,-17.7977,1.3186,3.0386,3.91,-0.12,
BO,2,5.0,-6.5883,1.0266,3.5587,4.17,-0.18,
BT,4,4.8371,-14.318,1.206,3.7345,48.03,-13.21,
BU,3,5.0,-18.634,1.2622,3.6407,42.13,,-0.1
BY,4,5.0,-9.8322,1.1062,2.8512,48.2413,-10.1014,
CA,4,4.8371,-14.318,1.206,3.7345,48.03,-13.21,
CB,1,5.0,-4.2993,1.0761,3.5922,3.9112,-0.1697,0.0147
CK,1,5.0,-7.5332,1.0257,3.1662,4.1233,-0.1279,-0.0142
CO,4,5.0,-9.7922,1.0728,3.634,54.53,-14.7,
CT,3,4.9829,-5.2479,0.9552,3.8219,42.15,,-0.11
CW,4,4.8371,-14.318,1.206,3.7345,48.03,-13.21,
DW,4,4.7093,-9.6999,1.102,2.7391,51.8467,-14.1876,
EL,2,5.0,1.1421,0.9141,3.0621,3.68,-0.02,
FM,4,5.0,-18.634,1.2622,3.6407,53.187,-9.4122,
FR,3,4.0659,-6.8708,1.051,4.1741,63.51,,-0.09
GA,3,4.5987,-16.9647,1.3925,3.3601,35.49,,0.0
HA,1,4.7093,-9.6999,1.102,2.7391,4.4653,-0.834,0.107
HB,4,4.5671,-49.1736,2.1311,2.9883,50.8266,-14.5261,
HH,4,5.0,15.0407,0.6546,3.0344,52.7207,-11.484,
HI,1,5.0,-29.1096,1.5626,3.531,3.9939,-0.2117,0.0238
HL,2,4.9245,-13.3135,1.2765,2.8455,3.82,-0.1,
HM,3,4.0659,-6.8708,1.051,4.1741,63.51,,-0.09
HY,3,4.6965,-14.3809,1.2016,3.5571,52.05,,-0.11
JU,3,2.4435,-32.4837,1.6503,2.6518,67.64,,-2.25
LB,3,4.1992,-16.8789,1.2949,2.7697,37.83,,-0.15
LK,4,4.6329,-1.2977,0.9438,3.2263,54.36,-11.3181,
LL,4,3.9771,14.3641,0.5189,3.7531,42.84,-5.62,
LO,3,5.0,11.2401,0.7081,3.5258,49.27,,-0.72
LP,1,4.9701,-14.668,1.3196,2.517,3.8284,-0.2234,0.072
MB,3,4.8677,-22.5591,1.424,2.8686,42.32,,-1.08
MG,3,5.0,9.252,0.7899,3.2166,44.71,,0.4
ML,3,5.0,9.252,0.7899,3.2166,44.71,,0.4
MS,3,5.0,9.252,0.7899,3.2166,44.71,,0.4
MV,3,4.2299,-32.497,1.7316,2.7902,36.5,,-0.23
OH,1,4.1374,17.2956,0.4987,2.267,3.78,-0.02,-0.02
OS,3,2.4435,-32.4837,1.6503,2.6518,67.64,,-2.25
OT,2,4.9041,-2.5097,0.9225,2.7628,3.93,-0.15,
OV,4,5.0,11.2401,0.7081,3.5258,57.82,-18.45,
PC,4,4.9986,-9.6939,1.074,2.3667,36.0855,-5.4737,
PD,1,4.33,-34.2606,1.7823,3.0554,3.8904,-0.3565,0.0478
PI,3,4.0659,-6.8708,1.051,4.1741,63.51,,-0.09
PO,4,4.7585,-83.4596,3.0817,3.4788,44.34,-5.23,
PP,1,3.919,1.2933,0.7986,2.9202,4.3546,-0.5034,0.0163
PS,1,4.7093,-9.6999,1.102,2.7391,3.8415,-0.2879,0.0297
PU,4,4.378,-5.0254,0.962,2.4758,54.0462,-18.2118,
QS,3,5.0,-5.0414,0.8032,3.6764,46.72,,-0.85
RA,3,3.5122,22.2798,0.3081,2.7868,38.03,,-0.09
RD,4,5.0,15.0407,0.6546,3.0344,44.5839,-14.0874,
RL,1,4.7375,-21.881,1.534,3.3558,3.8487,-0.2005,0.0276
RM,4,4.7322,-24.274,1.4587,2.9951,46.1653,-6.088,
RO,2,5.0,-12.4107,1.1363,3.643,3.9,-0.07,
SA,4,3.894,-4.7342,0.9786,2.9082,42.8255,-15.135,
SB,1,4.1939,1.25,0.8795,3.15,3.8785,-0.1749,0.0171
SD,3,4.8677,-22.5591,1.424,2.8686,38.71,,-0.1
SK,2,5.0,-26.7842,1.603,3.516,3.92,-0.09,
SM,3,4.6903,-19.5613,1.2928,3.3715,48.2,,-0.01
SN,1,4.4764,-18.7445,1.3539,3.8384,3.9344,-0.0845,0.0043
SO,4,5.0,-4.6551,0.9593,3.834,51.7,-9.65,
SP,4,4.6721,-3.9456,1.0509,3.0228,47.7297,-16.352,
SR,2,5.0,-10.1125,1.0734,3.3218,4.17,-0.23,
SS,3,4.9082,-11.2419,1.1519,2.4971,38.85,,-0.99
SU,1,4.635,-39.7348,1.9132,3.0574,3.8153,-0.0964,0.0055
SV,3,5.0,-18.634,1.2622,3.6407,42.98,,0.55
SY,3,4.564,-30.7592,1.6192,3.2836,3.9839,-0.0248,
TM,4,3.919,1.2933,0.7986,2.9202,45.8231,-13.8999,
TO,2,4.1406,13.695,0.6895,3.0427,3.95,-0.02,
TS,3,4.8257,-7.1092,1.0128,2.7232,41.379,,-0.8012
VP,1,5.0,-10.2832,1.1019,2.4693,4.1136,-0.331,0.007
WA,1,4.8776,-11.6617,1.1668,3.8475,3.7881,-0.0634,-0.0055
WE,4,4.9367,7.6678,0.9105,3.0303,43.64,-10.03,
WI,3,4.8547,-17.1135,1.3108,3.2431,44.5295,,-1.0053
WK,1,5.0,-50.1177,2.1127,3.5148,3.9116,-0.2657,0.0509
WN,2,4.2967,-17.7977,1.3186,3.0386,3.91,-0.12,
WO,2,5.0,-16.0927,1.2319,3.5016,4.05,-0.12,
WP,3,4.6496,-11.4277,1.1343,3.9405,51.8,,-0.8
WT,3,5.0,-15.1643,1.2524,3.1645,36.02,,-0.3
YP,2,4.9948,-11.1089,1.1089,3.8822,3.87,-0.07,
