species_code,FIA_code,ln_dds_b6,ln_dds_b7,ln_dds_b2=8,ln_dds_b9,ln_dds_b10,base_fortype,ftlohd,ftnohd,ftokpn,ftsfhp,ftuphd,ftupok,ftylpn
FR,12,-0.000824,-0.002503,-0.241408,0.066508,0.086959,FTUPOK,0.000000,-0.023264,0.294886,-0.271743,-0.004304,0.000000,0.039012
JU,68,-0.003620,-0.001890,-0.231988,0.077542,-0.025792,FTUPOK,0.128828,-0.020186,0.054362,0.000000,0.079239,0.000000,0.144288
PI,97,-0.000824,-0.002503,-0.241408,0.066508,0.086959,FTUPOK,0.000000,-0.023264,0.294886,-0.271743,-0.004304,0.000000,0.039012
PU,107,-0.005287,-0.003203,0.501409,-1.788107,-1.231519,FTYLPN,1.214007,0.000000,0.751229,0.000000,1.139953,0.239480,0.000000
SP,110,-0.004394,-0.003271,-0.704687,0.127667,0.028391,FTYLPN,0.106418,0.455020,0.017518,0.000000,0.066811,-0.040181,0.000000
SA,111,-0.002939,-0.004873,-0.018479,-0.193157,-0.251016,FTYLPN,0.325861,0.000000,0.116235,0.000000,0.162020,0.410684,0.000000
SR,97,-0.001847,-0.001394,-0.324278,0.526867,0.009866,FTLOHD,0.000000,0.000000,-0.098950,0.000000,0.072308,-0.055071,-0.236871
LL,107,-0.002182,-0.002898,0.225213,0.086883,0.107445,FTYLPN,0.048216,0.000000,0.088872,0.000000,0.086720,0.106061,0.000000
TM,68,-0.002304,-0.002716,-0.217771,0.018819,-0.052142,FTYLPN,-0.059007,0.325781,0.045370,0.091999,-0.004333,-0.067779,0.000000
PP,132,-0.002257,-0.002188,-0.317178,0.083538,0.150686,FTUPHD,0.000000,-0.110161,-0.010394,0.043707,0.000000,-0.315855,0.116814
PD,128,-0.003001,-0.004510,0.685018,-2.907934,1.683401,FTYLPN,0.187724,0.000000,0.044416,0.000000,0.482241,0.296549,0.000000
WP,129,-0.000865,-0.004065,-0.372738,-0.085193,-0.035582,FTUPHD,-0.585211,-0.062163,-0.073668,-0.198969,0.000000,0.022013,0.046063
LP,131,-0.003408,-0.004184,-0.759347,0.185360,-0.072842,FTYLPN,0.126441,-0.122163,0.050835,0.000000,0.063669,-0.016885,0.000000
VP,132,-0.002304,-0.002716,-0.217771,0.018819,-0.052142,FTYLPN,-0.059007,0.325781,0.045370,0.091999,-0.004333,-0.067779,0.000000
BY,611,-0.000502,-0.000768,-0.560585,-0.428140,-0.739509,FTLOHD,0.000000,-0.050765,-0.201498,0.000000,0.194880,0.081554,-0.324291
