species_code,FIA_code,si_min,si_max,CurtisArney_b0,CurtisArney_b1,CurtisArney_b2,Dbw,Wykoff_b0,Wykoff_b1,Bark_b0,Bark_b1,small_tree_b0,small_tree_b1,small_tree_b2,small_tree_b3,small_tree_b4,ln_dds_b0,ln_dds_b1,ln_dds_b2,ln_dds_b3,ln_dds_b4,ln_dds_b5
FR,12,15,100,2163.946776,6.26880851,-0.2161439,0.1,4.5084,-6.0116,0.05119,0.89372,2.077,0.9303,-0.0285,2.8937,-0.1414,-2.267851,1.442529,-0.000548,0.568468,-0.403762,-0.001151
JU,68,15,70,212.7932729,3.47154903,-0.3258523,0.3,4.0374,-4.2964,-0.27012,0.97546,0.9276,1.0591,-0.0424,0.3529,0.3114,-1.864431,1.403065,-0.001237,0.273616,0.177408,-0.000374
PI,97,15,80,2163.946776,6.23880851,-0.2161439,0.2,4.5084,-6.0116,-0.17289,0.91572,1.3307,1.0442,-0.0496,3.5829,0.0945,-2.267851,1.442529,-0.000548,0.568468,-0.403762,-0.001151
PU,107,35,100,3919.995225,6.87312726,-0.19063343,0.5,4.2899,-4.1019,-0.39956,0.95183,1.266,1.0034,-0.0365,1.5515,-0.0221,-3.791466,1.796179,-0.005109,0.902185,0.000000,-0.002009
SP,110,35,105,444.0921666,4.11876312,-30617043,0.5,4.6271,-64095,-0.44121,0.93045,1.4232,0.9989,-0.0285,1.2156,0.0088,-0.008942,1.238170,-0.001170,0.053076,0.040334,0.004723
SA,111,35,105,1087.101439,5.10450596,-0.24284896,0.5,4.6561,-6.2258,-0.55073,0.91887,1.1557,1.0031,-0.0408,0.9807,0.0314,-1.641698,1.461093,-0.002530,0.265872,0.069104,0.006851
SR,97,45,90,333.3145742,4.13108244,-0.37092539,0.5,4.7258,-6.7703,-0.13301,0.93755,1.3307,1.0442,-0.0496,3.5829,0.0945,-2.431165,1.691731,-0.000945,0.588558,-0.326169,0.000109
LL,121,45,125,98.56082813,3.89930709,-0.86730393,0.5,4.5991,-5.9111,-0.45903,0.92746,1.421,0.9947,-0.0269,1.1344,-0.0109,-1.331052,1.098112,-0.001834,0.184512,0.388018,0.008774
TM,68,35,70,691.5411919,4.19801014,-0.1856823,0.5,4.2139,-4.5419,0.5119,0.89372,0.9276,1.0591,-0.0424,0.3529,0.3114,-2.600803,1.525435,-0.003519,0.615731,0.059646,0.001033
PP,132,25,95,208.7773185,3.72806565,-0.410875,0.5,4.3898,-5.7183,-0.58808,0.91852,1.1204,0.9984,-0.0597,2.4448,-0.0284,-3.639059,1.397394,-0.001670,0.739443,-0.193198,0.008731
PD,128,35,105,142.7468108,3.97260802,-0.5870983,0.5,4.5457,-6.8000,-0.51271,0.90245,1.1266,1.0051,-0.0367,0.678,0.0404,-2.353114,1.425614,-0.001694,0.455833,-0.198222,0.007876
WP,129,40,135,2108.844224,5.65948135,-0.18563136,0.4,4.6090,-6.1896,-0.31608,0.92054,3.2425,0.798,-0.0435,52.0549,-0.7064,-3.497764,1.339503,-0.000961,0.759060,0.605201,0.004214
LP,131,40,125,243.860648,4.28460566,-0.47130185,0.5,4.6897,-6.8801,-0.48140,0.91413,1.1421,1.0042,-0.0374,0.7632,0.0358,0.222214,1.163040,-0.000863,0.028483,0.006935,0.005018
VP,132,35,95,926.1802712,4.46209203,-0.20053974,0.5,4.4718,-5.0078,-0.31137,0.95011,1.1204,0.9984,-0.0597,2.4448,-0.0284,-2.600803,1.525435,-0.003519,0.615731,0.059646,0.001033
BY,611,30,120,119.5749091,4.13535453,-0.79625456,0.2,4.6171,-6.2684,-0.27012,0.97546,1.0902,1.0298,-0.0354,0.7011,0.1178,-1.73569,1.505649,-0.000054,0.132441,-0.119572,0.003996
PC,611,30,120,162.6505825,3.20796415,-0.47880203,0.2,4.4603,-5.0577,-0.94204,0.96735,1.0902,1.0298,-0.0354,0.7011,0.1178,-4.224977,1.831739,-0.000595,0.446234,-0.125847,0.005975
HM,261,35,90,266.4562239,3.99313675,-0.38600287,0.1,4.5084,-6.0116,-0.04931,0.92272,2.1493,0.9979,-0.0175,1.4086,-0.0008,-2.267851,1.442529,-0.000548,0.568468,-0.403762,-0.001151
FM,317,35,70,603.6736175,3.9896005,-0.21651785,0.2,4.3164,-4.0582,-0.09800,0.94646,1.0645,0.9918,-0.0812,1.5754,-0.0272,-1.685778,1.454506,-0.000818,0.242436,-0.140837,0.004360
BE,316,35,70,287.9445676,3.27674704,-0.26617485,0.2,4.2378,-4.1080,-0.09800,0.94646,2.9435,0.9132,-0.0141,1.658,-0.1095,-0.871047,1.217898,-0.000105,0.240101,0.071213,-0.000022
RM,316,35,85,268.5564351,3.11432843,-0.29411156,0.2,4.3379,-3.8214,-0.09800,0.94646,2.9435,0.9132,-0.0141,1.658,-0.1095,-2.260482,1.449834,-0.000931,0.361311,0.282436,0.003444
SV,317,30,105,80.51179925,26.98331005,-2.02202808,0.2,4.5991,-6.6706,-0.09800,0.94646,1.0645,0.9918,-0.0812,1.5754,-0.0272,-2.260482,1.449834,-0.000931,0.361311,0.282436,0.003444
SM,318,35,100,209.8555358,2.95281334,-0.36787496,0.2,4.4834,-4.5431,-0.09800,0.94646,6.1308,0.6904,-0.0195,10.1563,-0.5330,-2.313444,1.350084,-0.000816,0.394806,0.631803,-0.000542
BU,318,25,90,630.9504602,4.51086779,-0.26826208,0.3,4.5697,-5.7172,-0.35332,0.95955,6.1308,0.6904,-0.0195,10.1563,-0.5330,-1.876225,1.197048,-0.000778,0.183857,0.547747,0.010254
BB,371,35,85,170.5253403,2.68833651,-0.4008071,0.1,4.4388,-4.0872,0.21790,0.92290,6.0522,0.6768,-0.0217,15.4232,-0.6354,-1.092055,1.024946,-0.000653,0.206770,0.489441,0.002354
SB,371,35,70,68.92234069,43.33832185,-2.44448482,0.1,4.4522,-4.5758,0.21790,0.92290,6.0522,0.6768,-0.0217,15.4232,-0.6354,-1.092055,1.024946,-0.000653,0.206770,0.489441,0.002354
AH,68,15,40,628.0209077,3.88103963,-0.15387585,0.2,3.8550,-2.6623,-0.13040,0.97071,0.9276,1.0591,-0.0424,0.3529,0.3114,-1.281144,1.335625,0.000000,0.111128,0.003444,0.005347
HI,400,25,85,337.6684758,3.62726466,-0.32083172,0.3,4.5128,-4.9918,-0.60912,0.94347,1.8326,1.0015,-0.0207,1.408,-0.0005,-2.728289,1.548449,-0.000761,0.203837,0.570012,0.004399
CA,543,30,90,190.9797059,3.69278884,-0.52730469,0.3,4.9396,-8.1838,-0.33014,0.94215,4.2286,0.7857,-0.0178,4.6219,-0.3591,-1.068980,1.164191,0.0000001,0.084279,0.501307,0.009700
HB,68,15,90,484.7529797,3.93933286,-0.25998833,0.1,4.4207,-5.1435,-0.18338,0.95768,0.9276,1.0591,-0.0424,0.3529,0.3114,-0.833167,1.190567,0.0000001,0.193368,0.508738,-0.000056
RD,531,35,85,103.1767713,2.21695491,-0.3596216,0.2,3.7512,-2.5539,-0.33014,0.94215,0.9276,1.0591,-0.0424,0.3529,0.3114,-1.062539,1.174050,0.0000001,0.239942,0.411945,-0.005893
AB,531,35,85,526.1392688,3.89232121,-0.22587084,0.1,4.4772,-4.7206,-0.13040,0.97071,29.73,0.3631,-0.0127,16.7616,-0.6804,-1.251887,1.349337,-0.000447,0.193148,0.279322,-0.000287
AS,544,35,105,251.4042514,3.26919806,-0.35905996,0.2,4.4819,-4.5314,-0.34316,0.93964,1.6505,0.9096,-0.0644,125.7045,-0.8908,-2.954457,1.461691,0.0000001,0.377819,0.185353,0.007104
WA,541,35,95,91.35276617,6.99605268,-1.22937669,0.2,4.5959,-6.4497,-0.48735,0.93847,4.1492,0.7531,-0.0269,14.5384,-0.5811,-1.315283,1.216264,-0.000080,0.087907,0.487191,0.003424
HA,68,15,65,2620.585492,5.84993689,-0.18030935,0.2,4.4931,-4.6501,-0.33014,0.94215,0.9276,1.0591,-0.0424,0.3529,0.3114,-2.352258,1.746852,0.0000001,0.291502,-1.771604,0.003582
DW,531,15,45,863.0501053,4.38560239,-0.14812185,0.1,3.7301,-2.7758,-0.33014,0.94215,0.9276,1.0591,-0.4242,0.3529,0.3114,-2.540719,1.293125,-0.000856,0.368481,-0.611245,0.004257
PS,68,15,70,488.9349192,4.06503751,-0.27180547,0.2,4.4091,-4.8464,-0.42001,0.94264,0.9276,1.0591,-0.0424,0.3529,0.3114,-2.524455,1.479865,-0.001512,0.289171,0.243575,0.003369
